iter	RMSE
0	0.8975323573
1	0.8868141871
2	0.8765985531
3	0.8668044493
4	0.8573840853
5	0.8484448343
6	0.8399416135
7	0.8317219435
8	0.8238446909
9	0.8163087594
10	0.8091298597
11	0.8022983733
12	0.7957798646
13	0.7895957729
14	0.7836516428
15	0.7780396851
16	0.7726362404
17	0.7674856483
18	0.7626186519
19	0.7579928284
20	0.7535510084
21	0.7493325695
22	0.745279292
23	0.7414661391
24	0.737746145
25	0.7342396678
26	0.7308956492
27	0.7277256309
28	0.7247104126
29	0.7218079865
30	0.7190492608
31	0.7164220806
32	0.7139444423
33	0.7115847111
34	0.7093203043
35	0.7072004947
36	0.7051319151
37	0.703116711
38	0.7012386334
39	0.6994451916
40	0.6977318529
41	0.696142935
42	0.6946042206
43	0.6931529877
44	0.6917557737
45	0.6904265654
46	0.6891659596
47	0.6879579113
48	0.6868264887
49	0.6857487542
50	0.684684631
51	0.6836925339
52	0.6827278523
53	0.6817626274
54	0.6808944315
55	0.6800758594
56	0.6792654763
57	0.6785153301
58	0.6777968305
59	0.6770873249
60	0.6764411941
61	0.67580163
62	0.6752178471
63	0.6746343201
64	0.674075083
65	0.6735422063
66	0.6730248274
67	0.6724631757
68	0.671965149
69	0.6715091981
70	0.671064486
71	0.6706520233
72	0.6702406302
73	0.6698186343
74	0.6694340322
75	0.668928167
76	0.6685837632
77	0.6682351996
78	0.667847204
79	0.667509796
80	0.6672040901
81	0.6668907187
82	0.6665860245
83	0.6663105491
84	0.6660542355
85	0.6656707547
86	0.6653217526
87	0.665095663
88	0.6648165153
89	0.6645051092
90	0.6641830488
91	0.6639650793
92	0.6637193956
93	0.6634882214
94	0.6631998092
95	0.6629459196
96	0.6627756548
97	0.6625348854
98	0.6622822916
99	0.6621012444
100	0.6618964492
101	0.6616779381
102	0.6614721295
103	0.6613114393
104	0.6611164976
105	0.6609620778
106	0.6607391244
107	0.6606174078
108	0.6604144145
109	0.6602610326
110	0.6601350554
111	0.6599633934
112	0.6598487505
113	0.6597438883
114	0.6596353292
115	0.6595280264
116	0.6593840319
117	0.659190397
118	0.6590438849
119	0.6589078619
120	0.6587864448
121	0.6586771254
122	0.6585153633
123	0.658425817
124	0.6582664044
125	0.6581751219
126	0.6580863807
127	0.6579604482
128	0.6578284239
129	0.657744143
130	0.6576631521
131	0.6575047617
132	0.6573949452
133	0.6573097919
134	0.6571772816
135	0.657025027
136	0.6569234095
137	0.6567640944
138	0.65668444
139	0.6565472172
140	0.6564941334
141	0.6564335422
142	0.6563713095
143	0.6562974406
144	0.6561723032
145	0.6561001552
146	0.6560277501
147	0.6559564047
148	0.6558416663
149	0.6557259112
150	0.6555611776
151	0.6554886061
152	0.6554237551
153	0.6553508123
154	0.6552433779
155	0.6551953187
156	0.6551328259
157	0.6548872505
158	0.6548268315
159	0.6547542144
160	0.6546542412
161	0.6545588888
162	0.6543269398
163	0.6542501285
164	0.6541825142
165	0.6541077914
166	0.6540708908
167	0.6540272425
168	0.6539617469
169	0.6537338708
