iter	Passed	Remaining
0	268	133762
1	530	132070
2	790	131006
3	1051	130329
4	1316	130373
5	1587	130732
6	1856	130767
7	2127	130835
8	2400	130935
9	2667	130688
10	2930	130264
11	3198	130065
12	3468	129924
13	3729	129478
14	3988	128952
15	4251	128602
16	4520	128447
17	4790	128266
18	5057	128022
19	5338	128124
20	5614	128059
21	5882	127805
22	6145	127451
23	6413	127195
24	6687	127065
25	6957	126844
26	7225	126586
27	7553	127329
28	7835	127265
29	8163	127889
30	8447	127803
31	8719	127521
32	8979	127075
33	9251	126798
34	9524	126538
35	9792	126211
36	10059	125879
37	10383	126237
38	10653	125930
39	10989	126382
40	11261	126073
41	11523	125665
42	11783	125234
43	12053	124914
44	12324	124610
45	12585	124216
46	12851	123867
47	13113	123486
48	13382	123177
49	13645	122810
50	13916	122515
51	14185	122210
52	14523	122487
53	14916	123201
54	15188	122888
55	15450	122498
56	15787	122699
57	16059	122387
58	16327	122041
59	16592	121677
60	16861	121350
61	17125	120984
62	17393	120649
63	17819	121397
64	18091	121070
65	18562	122064
66	18828	121680
67	19310	122680
68	19571	122249
69	20002	122869
70	20327	122823
71	20593	122419
72	20869	122073
73	21381	123089
74	21652	122698
75	22002	122753
76	22272	122355
77	22786	123280
78	23151	123374
79	23477	123258
80	23814	123189
81	24081	122757
82	24550	123344
83	25022	123920
84	25490	124453
85	25870	124538
86	26287	124788
87	26554	124321
88	26909	124268
89	27266	124214
90	27650	124274
91	27983	124098
92	28350	124070
93	28720	124050
94	29152	124282
95	29534	124289
96	29806	123836
97	30307	124323
98	30728	124466
99	31130	124523
100	31483	124375
101	32025	124962
102	32564	125514
103	32934	125404
104	33260	125124
105	33735	125393
106	34181	125543
107	34480	125149
108	34967	125435
109	35375	125422
110	35812	125504
111	36297	125744
112	36769	125925
113	37036	125405
114	37491	125513
115	37795	125114
116	38182	124990
117	38548	124791
118	38915	124594
119	39353	124619
120	39845	124804
121	40145	124386
122	40568	124343
123	40997	124314
124	41489	124468
125	41792	124050
126	42094	123631
127	42574	123732
128	43022	123730
129	43299	123236
130	43643	122935
131	44056	122823
132	44393	122498
133	44655	121968
134	45023	121729
135	45572	121974
136	45841	121463
137	46249	121321
138	46637	121122
139	47230	121450
140	47556	121083
141	47839	120608
142	48133	120166
143	48401	119659
144	48866	119637
145	49200	119294
146	49592	119089
147	50061	119065
148	50415	118763
149	50835	118616
150	51271	118501
151	51677	118313
152	52071	118096
153	52329	117572
154	52903	117753
155	53167	117240
156	53534	116956
157	54024	116939
158	54298	116452
159	54715	116270
160	55311	116463
161	55909	116650
162	56359	116523
163	56784	116339
164	57246	116227
165	57511	115715
166	57812	115279
167	58160	114935
168	58550	114674
169	59001	114532
